FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
5,1064.3,17.93863,1.491948,4.39957,5.99962,98.62590862727563,0.3677549878400015,17.95625,4.39125,1.524375,6.075,17.91875,40.5
5,1064.7,17.99441,1.738792,4.399479,6.99962,98.42161054665685,0.49385495473999086,18.0125,4.39,1.779375,7.10625,17.975,42.0
5,1065.4,18.05057,1.986154,4.399383,7.99934,98.16170397783603,0.6590514005600028,18.06875,4.39,2.03625,8.10375,18.03125,44.0
5,1029.7,18.10642,2.232963,4.399079,8.99933,97.91693746074434,0.8422023053899892,18.125,4.39125,2.29125,9.1275,18.087500000000002,46.0
5,1030.6,18.16656,2.480183,4.399669,9.99997,97.64775830157458,1.0598352705499963,18.1875,4.39,2.5481249999999998,10.1625,18.150000000000002,49.0
5,1032.4,18.22239,2.727377,4.399043,11.0,97.36444245763872,1.3098543710300063,18.2375,4.39125,2.803125,11.15625,18.20625,51.5
5,1034.0,18.2822,2.974663,4.399218,12.0,97.07122325898332,1.5927678986000018,18.3,4.39,3.058125,12.2175,18.26875,55.0
5,1034.8,18.34157,3.221374,4.399054,13.0001,96.78951850573675,1.8969148117800074,18.35625,4.38875,3.313125,13.241249999999999,18.325,59.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
6,1148.1,17.66484,0.2575812,4.400274,0.999283,96.63720248804827,0.1530116814660012,17.6875,4.39,0.24562499999999998,0.9824999999999999,17.650000000000002,39.0
6,1147.1,17.71774,0.5046859,4.399633,1.99901,98.35624083886904,0.14698319453600206,17.7375,4.39,0.500625,1.99875,17.7,38.5
6,1148.0,17.7735,0.7518626,4.399693,2.99899,98.73836930124358,0.1685946110300005,17.79375,4.39,0.7575,3.01875,17.75625,39.0
6,1147.0,17.82985,0.9987157,4.399862,3.99939,98.81963488299857,0.2101870394650014,17.85,4.39125,1.0125,4.0275,17.806250000000002,39.5
6,1148.9,17.88559,1.246047,4.39987,4.99977,98.70795997190548,0.28794773283000197,17.90625,4.39125,1.2674999999999998,5.04,17.868750000000002,40.0
