FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
3,557.9423,17.66468,0.2565764,4.400938,0.999146,97.01786709386946,0.13516040260399986,17.70625,4.39625,0.230625,1.05375,17.66875,37.5
3,558.098,17.7105,0.5031667,4.399076,1.99887,98.67412894245965,0.11815279622999952,17.75,4.3950000000000005,0.47625,2.07375,17.712500000000002,37.5
3,557.9112,17.76625,0.7500992,4.399682,2.99927,99.01987640577568,0.13061567985999822,17.806250000000002,4.39625,0.7218749999999999,3.0862499999999997,17.76875,37.5
3,558.098,17.81886,0.9963725,4.399479,3.99951,99.10746959625591,0.15846183005999848,17.85625,4.3950000000000005,0.9674999999999999,4.10625,17.81875,38.0
3,558.628,17.87107,1.243017,4.399118,4.99977,99.01204113431031,0.21946561533000164,17.90625,4.3950000000000005,1.21125,5.115,17.875,39.0
3,559.0444,17.92768,1.489533,4.399801,5.99976,98.85364587784122,0.3061209256799948,17.96875,4.39625,1.456875,6.135,17.931250000000002,40.5
3,559.2216,17.97986,1.736111,4.39927,6.99962,98.64868170799812,0.42181444706000093,18.01875,4.39625,1.704375,7.083749999999999,17.9875,42.0
3,559.6596999999999,18.03612,1.98262,4.399627,7.99947,98.4225184438314,0.5640880367100038,18.075,4.3950000000000005,1.95,8.15625,18.04375,43.5
3,560.6638,18.09193,2.229265,4.39973,8.99947,98.17397215407246,0.7364681883499955,18.13125,4.39625,2.19375,9.165,18.09375,46.0
3,560.601,18.14836,2.47549,4.399831,9.99997,97.93459474989945,0.927905691330011,18.181250000000002,4.3950000000000005,2.4375,10.147499999999999,18.15625,48.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
4,642.5084,17.66127,0.2582491,4.400355,0.999146,96.3953139611869,0.1644099855269996,17.69375,4.39625,0.23249999999999998,1.0574999999999999,17.6625,37.5
4,641.5191,17.7106,0.5049272,4.39969,1.99901,98.3501446912514,0.14753936142000157,17.75,4.3950000000000005,0.47812499999999997,2.08125,17.712500000000002,37.5
4,641.8485,17.76288,0.7515645,4.399718,2.99927,98.8463790530839,0.15400781989999857,17.8,4.39625,0.72375,3.105,17.76875,37.5
4,642.1783,17.81545,0.9978918,4.399863,3.99951,98.98415736477006,0.18059540117999973,17.85625,4.3950000000000005,0.969375,4.109999999999999,17.81875,38.5
4,642.4258000000001,17.86752,1.244663,4.399817,4.99989,98.918838158825,0.24044002563000433,17.90625,4.3950000000000005,1.2149999999999999,5.12625,17.868750000000002,39.0
4,642.8388,17.91721,1.491046,4.399083,5.99989,98.7970594128042,0.3213702007900032,17.95625,4.3950000000000005,1.45875,6.11625,17.91875,40.5
4,643.4592,17.97286,1.737729,4.399803,6.99962,98.607160871129,0.4350109600799996,18.01875,4.39625,1.70625,7.125,17.975,42.0
4,643.5421,18.02552,1.984153,4.399682,7.9996,98.40713755958654,0.5696934573600032,18.0625,4.3950000000000005,1.9481249999999999,8.1525,18.03125,44.0
4,644.9948,18.07855,2.230728,4.399533,8.99947,98.17780086831058,0.7348624368899976,18.118750000000002,4.39625,2.1956249999999997,9.157499999999999,18.08125,46.0
4,645.0781,18.13088,2.477021,4.399052,10.0001,97.95235154470735,0.919610603280006,18.16875,4.3950000000000005,2.439375,10.1775,18.1375,48.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
5,724.9003,17.66118,0.2597504,4.400559,0.999283,95.85624349749108,0.19009477027499955,17.70625,4.39625,0.234375,1.05,17.66875,38.0
5,724.3752,17.70698,0.5065126,4.399358,1.99915,98.06181687706447,0.17383193224799953,17.743750000000002,4.3950000000000005,0.958125,2.0775,17.712500000000002,38.0
5,724.8478,17.75927,0.7531658,4.399771,2.99927,98.6574611560029,0.17957362979599978,17.8,4.3950000000000005,0.725625,3.07875,17.7625,38.0
5,725.6894,17.80838,0.9994594,4.399375,3.99951,98.857175635144,0.2034084835220007,17.85,4.3950000000000005,0.969375,4.09875,17.8125,38.5
5,725.4262,17.8605,1.24627,4.399686,4.99989,98.82717445577181,0.2610593004599977,17.90625,4.39625,1.216875,5.1075,17.868750000000002,39.5
5,725.0755,17.91019,1.492799,4.399325,5.99976,98.72301184313422,0.34141955980999583,17.95,4.39625,1.4606249999999998,6.12,17.9125,40.5
5,725.9528,17.96298,1.739306,4.399731,6.99962,98.57032906603928,0.44667378966000015,18.00625,4.3950000000000005,1.708125,7.14,17.96875,42.0
5,726.5858000000001,18.01175,1.985779,4.398997,7.99974,98.3881317362453,0.5765226424699961,18.05,4.3950000000000005,1.951875,8.14875,18.01875,44.0
5,727.802,18.0645,2.232537,4.39914,8.99959,98.16708546782463,0.7392082838999983,18.10625,4.3950000000000005,2.1956249999999997,9.16875,18.06875,46.0
5,728.5444,18.11676,2.478859,4.399015,10.0001,97.95518526020072,0.9183036753399918,18.15625,4.39375,2.4431249999999998,10.1775,18.125,48.5

