register,address (dec),address (hex)
VEXT1_REMOVE_MASK,1,0x1
VEXT2_ADC,4095,0xfff
VEXT2_ADC_DIS,1,0x1
VEXT2_DRV_ON_FLAG,1,0x1
VEXT2_DRV_ON_MASK,1,0x1
VEXT2_DRV_ON_STAT,1,0x1
VEXT2_INSERT_FLAG,1,0x1
VEXT2_INSERT_MASK,1,0x1
VEXT2_INSERT_STAT,1,0x1
VEXT2_OVP_DG_SET,3,0x3
VEXT2_OVP_FLAG,1,0x1
VEXT2_OVP_MASK,1,0x1
VEXT2_OVP_STAT,1,0x1
VEXT2_REMOVE_FLAG,1,0x1
VEXT2_REMOVE_MASK,1,0x1
VEXT_SHUT_DOWN_SET,1,0x1
VIN_ADC,4095,0xfff
VIN_ADC_DIS,1,0x1
VIN_OVP,7,0x7
VIN_OVP_DG_SET,1,0x1
VIN_OVP_DIS,1,0x1
VIN_OVP_FLAG,1,0x1
VIN_OVP_MASK,1,0x1
VIN_OVP_STAT,1,0x1
VIN_PD_EN,1,0x1
VIN_PRESENT_FLAG,1,0x1
VIN_PRESENT_MASK,1,0x1
VIN_PRESENT_STAT,1,0x1
VIN_TH_CHG_EN_FLAG,1,0x1
VIN_TH_CHG_EN_MASK,1,0x1
VIN_TH_CHG_EN_STAT,1,0x1
VOUT_ADC,4095,0xfff
VOUT_ADC_DIS,1,0x1
VOUT_INSERT_MASK,1,0x1
VOUT_INSERT_STAT,1,0x1
VOUT_OVP,3,0x3
VOUT_OVP_DG_SET,1,0x1
VOUT_OVP_DIS,1,0x1
VOUT_OVP_FLAG,1,0x1
VOUT_OVP_MASK,1,0x1
VOUT_OVP_STAT,1,0x1
VOUT_INSERT_FLAG,1,0x1
VOUT_TH_CHG_EN_FLAG,1,0x1
VOUT_TH_CHG_EN_MASK,1,0x1
VOUT_TH_CHG_EN_STAT,1,0x1
VOUT_TH_CHG_FALL_DG_SET,1,0x1
VOUT_TH_REV_EN_FLAG,1,0x1
VOUT_TH_REV_EN_MASK,1,0x1
VOUT_TH_REV_EN_STAT,1,0x1
VOUT_TH_REV_FALL_DG_SET,1,0x1
VOUT_TH_SW_AVDD_STAT,1,0x1
WD_STANDBY_EN,1,0x1
WD_TIMEOUT,3,0x3
WD_TIMEOUT_DIS,1,0x1
WD_TIMEOUT_FLAG,1,0x1
WD_TIMEOUT_MASK,1,0x1
WD_TIMEOUT_STAT,1,0x1
WD_VEXT_SHUTDOWN_EN,1,0x1
